Monster Name,Island,Monster 1,Monster 2,Portrait URL
Rare Humbug,Earth Island,Quarrister,Thumpies,https://static.wikia.nocookie.net/mysingingmonsters/images/f/f9/Rare_Humbug.png/revision/latest?cb=20191027022611
Mushaboom,Magical Sanctum,Osstax,Fluoress,https://static.wikia.nocookie.net/mysingingmonsters/images/f/fe/Mushaboom.png/revision/latest?cb=20230909035545
Rare Monculus,Seasonal Shanty,Yool,Hoola,https://static.wikia.nocookie.net/mysingingmonsters/images/f/fe/Rare_Monculus.png/revision/latest?cb=20231213171606
Epic Flowah,Light Island,Fiddlement,Gob,https://static.wikia.nocookie.net/mysingingmonsters/images/a/a6/Epic_Flowah.png/revision/latest?cb=20240410205648
Epic Punkleton,Seasonal Shanty,Schmoochle,Blabbit,https://static.wikia.nocookie.net/mysingingmonsters/images/e/e1/Epic_Punkleton.png/revision/latest?cb=20191030205845
Rare Potbelly,Fire Haven,Reedling,Barrb,https://static.wikia.nocookie.net/mysingingmonsters/images/7/7f/Rare_Potbelly.png/revision/latest?cb=20250106000228
Epic Quarrister,Earth Island,Clamble,Dandidoo,https://static.wikia.nocookie.net/mysingingmonsters/images/4/45/Epic_Quarrister.png/revision/latest?cb=20190509222311
Spytrap,Light Island,Furcorn,Fluoress,https://static.wikia.nocookie.net/mysingingmonsters/images/0/01/Spytrap.png/revision/latest?cb=20220221192209
Carillong,Magical Sanctum,Mushaboom,Roarick,https://static.wikia.nocookie.net/mysingingmonsters/images/1/10/Carillong.png/revision/latest?cb=20230630170815
Epic Kayna,Psychic Island,Gloptic,Oaktopus,https://static.wikia.nocookie.net/mysingingmonsters/images/1/1c/Epic_Kayna.png/revision/latest?cb=20220304060550
Frondley,Magical Sanctum,Knucklehead,Theremind,https://static.wikia.nocookie.net/mysingingmonsters/images/7/7b/Frondley.png/revision/latest?cb=20220304030559
Barrb,Fire Haven,Flowah,Tweedle,https://static.wikia.nocookie.net/mysingingmonsters/images/2/29/Barrb.png/revision/latest?cb=20250106000356
Clavi Gnat,Faerie Island,Squot,Kayna,https://static.wikia.nocookie.net/mysingingmonsters/images/a/a3/Clavi_Gnat.png/revision/latest?cb=20191211165021
Rare Tweedle,Earth Island,Reedling,Thumpies,https://static.wikia.nocookie.net/mysingingmonsters/images/8/85/Rare_Tweedle.png/revision/latest?cb=20250106000109
Schmoochle,Air Island,Riff,Tweedle,https://static.wikia.nocookie.net/mysingingmonsters/images/8/83/Schmoochle.png/revision/latest?cb=20191027013012
TooToo,Light Island,Flowah,Fluoress,https://static.wikia.nocookie.net/mysingingmonsters/images/5/5e/TooToo.png/revision/latest?cb=20220304033237
Epic Reedling,Water Island,Spunge,Fwog,https://static.wikia.nocookie.net/mysingingmonsters/images/4/43/Epic_Reedling.png/revision/latest?cb=20191027015519
Rare Ghazt,Plant Island,Entbrat,Bowgart,https://static.wikia.nocookie.net/mysingingmonsters/images/8/8f/Rare_Ghazt.png/revision/latest?cb=20191027022539
Epic Toe Jammer,Plant Island,Entbrat,Oaktopus,https://static.wikia.nocookie.net/mysingingmonsters/images/4/40/Epic_Toe_Jammer.png/revision/latest?cb=20250106000135
Jeeode,Water Island,Shellbeat,Scups,https://static.wikia.nocookie.net/mysingingmonsters/images/0/0f/Jeeode.png/revision/latest/scale-to-width-down/700?cb=20191027013751
Epic Stogg,Fire Haven,Repatillo,Glowl,https://static.wikia.nocookie.net/mysingingmonsters/images/4/48/Epic_Stogg.png/revision/latest?cb=20220304052057
Larvaluss,Magical Sanctum,Déjà-Jin,Clackula,https://static.wikia.nocookie.net/mysingingmonsters/images/9/97/Larvaluss.png/revision/latest?cb=20220304055057
Rare Floot Fly,Faerie Island,Clavi Gnat,Cantorell,https://static.wikia.nocookie.net/mysingingmonsters/images/c/cc/Rare_Floot_Fly.png/revision/latest/scale-to-width-down/700?cb=20221030013808
Rare Rooba,Psychic Island,Flowah,Theremind,https://static.wikia.nocookie.net/mysingingmonsters/images/2/20/Rare_Rooba.png/revision/latest?cb=20231101170614
Rare Deedge,Cold Island,Quibble,Furcorn,https://static.wikia.nocookie.net/mysingingmonsters/images/e/e9/Rare_Deedge.png/revision/latest?cb=20230725174111
Whiz-bang,Seasonal Shanty,Yool,Blabbit,https://static.wikia.nocookie.net/mysingingmonsters/images/a/ab/Whiz-bang.png/revision/latest?cb=20220723191127
Cantorell,Faerie Island,HippityHop,Mammott,https://static.wikia.nocookie.net/mysingingmonsters/images/8/8e/Cantorell.png/revision/latest/scale-to-width-down/700?cb=20191211165030
Epic Krillby,Faerie Island,Pladdie,Kayna,https://static.wikia.nocookie.net/mysingingmonsters/images/f/f4/Epic_Krillby.png/revision/latest?cb=20250205155504
Rare Hoola,Air Island,Pango,Seasonal Shanty,https://static.wikia.nocookie.net/mysingingmonsters/images/5/5b/Rare_Hoola.png/revision/latest?cb=20191027022750
Epic Schmoochle,Air Island,Riff,Quibble,https://static.wikia.nocookie.net/mysingingmonsters/images/c/ce/Epic_Schmoochle.png/revision/latest?cb=20190513201621
Rare Kayna,Light Island,Fiddlement,Sooza,https://static.wikia.nocookie.net/mysingingmonsters/images/3/3e/Rare_Kayna.png/revision/latest?cb=20220304050626
Rare Kayna,Fire Haven,Repatillo,Barrb,https://static.wikia.nocookie.net/mysingingmonsters/images/3/3e/Rare_Kayna.png/revision/latest?cb=20220304050626
Epic Potbelly,Fire Haven,Tring,Cybop,https://static.wikia.nocookie.net/mysingingmonsters/images/0/08/Epic_Potbelly.png/revision/latest?cb=20250106000221
Epic Sox,Ethereal Island,Jellbilly,Bellowfish,https://static.wikia.nocookie.net/mysingingmonsters/images/8/8f/Epic_Sox.png/revision/latest?cb=20240214155023
Rare Fwog,Plant Island,Noggin,Toe Jammer,https://static.wikia.nocookie.net/mysingingmonsters/images/a/a6/Rare_Fwog.png/revision/latest?cb=20250105235728
Epic Drumpler,Faerie Island,Ziggurab,HippityHop,https://static.wikia.nocookie.net/mysingingmonsters/images/9/9c/Epic_Drumpler.png/revision/latest?cb=20250105235503
Rare Noggin,Air Island,PomPom,T-Rox,https://static.wikia.nocookie.net/mysingingmonsters/images/0/0a/Rare_Noggin.png/revision/latest?cb=20250106000150
Tapricorn,Psychic Island,Bonkers,Toe Jammer,https://static.wikia.nocookie.net/mysingingmonsters/images/0/06/Tapricorn.png/revision/latest?cb=20190926165206
Hairionette,Psychic Island,Gloptic,Rooba,https://static.wikia.nocookie.net/mysingingmonsters/images/d/d5/Hairionette_%28Major%29.png/revision/latest?cb=20241211164330
HippityHop,Faerie Island,Noggin,Floot Fly,https://static.wikia.nocookie.net/mysingingmonsters/images/5/5e/HippityHop.png/revision/latest?cb=20191211165044
Rare Tring,Fire Haven,Floogull,Potbelly,https://static.wikia.nocookie.net/mysingingmonsters/images/7/79/Rare_Tring.png/revision/latest?cb=20200127190047
